Date,Public Health Unit,Cases by episode date,Cases rate by episode date,Cases by reported date,Cases rate by reported date,Hospitalizations by episode date,Hospitalizations rate by episode date,Hospitalizations by reported date,Hospalizations rate by reported date,Deaths,Deaths rate
31-03-2020,Ontario,323,2.2,410,2.8,76,0.5,94,0.6,15,0.1
01-04-2020,Ontario,475,3.2,448,3,93,0.6,82,0.6,16,0.1
02-04-2020,Ontario,363,2.4,448,3,68,0.5,103,0.7,25,0.2
03-04-2020,Ontario,441,3,463,3.1,76,0.5,82,0.6,23,0.2
04-04-2020,Ontario,401,2.7,349,2.3,63,0.4,84,0.6,28,0.2
05-04-2020,Ontario,363,2.4,371,2.5,65,0.4,79,0.5,30,0.2
06-04-2020,Ontario,449,3,473,3.2,85,0.6,98,0.7,30,0.2
07-04-2020,Ontario,423,2.8,457,3.1,76,0.5,90,0.6,35,0.2
08-04-2020,Ontario,426,2.9,488,3.3,72,0.5,94,0.6,37,0.2
09-04-2020,Ontario,450,3,479,3.2,67,0.5,94,0.6,43,0.3
10-04-2020,Ontario,544,3.7,397,2.7,75,0.5,95,0.6,35,0.2
11-04-2020,Ontario,529,3.6,470,3.2,77,0.5,88,0.6,44,0.3
12-04-2020,Ontario,462,3.1,538,3.6,53,0.4,71,0.5,46,0.3
13-04-2020,Ontario,606,4.1,592,4,74,0.5,88,0.6,51,0.3
14-04-2020,Ontario,577,3.9,552,3.7,75,0.5,91,0.6,44,0.3
15-04-2020,Ontario,640,4.3,613,4.1,90,0.6,85,0.6,62,0.4
16-04-2020,Ontario,615,4.1,572,3.8,81,0.5,78,0.5,56,0.4
17-04-2020,Ontario,654,4.4,740,5,75,0.5,108,0.7,55,0.4
18-04-2020,Ontario,536,3.6,601,4,68,0.5,71,0.5,54,0.4
19-04-2020,Ontario,360,2.4,591,4,53,0.4,70,0.5,84,0.6
20-04-2020,Ontario,539,3.6,609,4.1,70,0.5,81,0.5,56,0.4
21-04-2020,Ontario,432,2.9,518,3.5,65,0.4,52,0.3,65,0.4
22-04-2020,Ontario,460,3.1,546,3.7,62,0.4,72,0.5,70,0.5
23-04-2020,Ontario,445,3,510,3.4,62,0.4,81,0.5,58,0.4
24-04-2020,Ontario,427,2.9,433,2.9,63,0.4,61,0.4,64,0.4
25-04-2020,Ontario,448,3,425,2.9,57,0.4,53,0.4,68,0.5
26-04-2020,Ontario,367,2.5,367,2.5,48,0.3,57,0.4,65,0.4
27-04-2020,Ontario,470,3.2,479,3.2,74,0.5,65,0.4,68,0.5
28-04-2020,Ontario,400,2.7,411,2.8,57,0.4,66,0.4,48,0.3
29-04-2020,Ontario,406,2.7,407,2.7,59,0.4,65,0.4,68,0.5
30-04-2020,Ontario,407,2.7,404,2.7,74,0.5,61,0.4,63,0.4
01-05-2020,Ontario,435,2.9,488,3.3,55,0.4,76,0.5,64,0.4
02-05-2020,Ontario,324,2.2,332,2.2,35,0.2,67,0.5,54,0.4
03-05-2020,Ontario,269,1.8,339,2.3,29,0.2,47,0.3,71,0.5
04-05-2020,Ontario,329,2.2,332,2.2,45,0.3,49,0.3,48,0.3
05-05-2020,Ontario,332,2.2,409,2.8,44,0.3,74,0.5,42,0.3
06-05-2020,Ontario,271,1.8,355,2.4,26,0.2,38,0.3,45,0.3
07-05-2020,Ontario,312,2.1,304,2,35,0.2,39,0.3,43,0.3
08-05-2020,Ontario,344,2.3,295,2,45,0.3,38,0.3,39,0.3
09-05-2020,Ontario,315,2.1,310,2.1,32,0.2,33,0.2,39,0.3
10-05-2020,Ontario,289,1.9,292,2,29,0.2,43,0.3,42,0.3
11-05-2020,Ontario,388,2.6,215,1.4,42,0.3,29,0.2,38,0.3
12-05-2020,Ontario,349,2.3,248,1.7,39,0.3,27,0.2,35,0.2
13-05-2020,Ontario,311,2.1,351,2.4,29,0.2,41,0.3,27,0.2
14-05-2020,Ontario,350,2.4,341,2.3,41,0.3,46,0.3,25,0.2
15-05-2020,Ontario,467,3.1,380,2.6,64,0.4,70,0.5,30,0.2
16-05-2020,Ontario,329,2.2,365,2.5,41,0.3,30,0.2,30,0.2
17-05-2020,Ontario,306,2.1,418,2.8,33,0.2,37,0.2,25,0.2
18-05-2020,Ontario,350,2.4,378,2.5,29,0.2,34,0.2,27,0.2
19-05-2020,Ontario,397,2.7,326,2.2,30,0.2,30,0.2,27,0.2
20-05-2020,Ontario,404,2.7,387,2.6,39,0.3,33,0.2,21,0.1
21-05-2020,Ontario,351,2.4,339,2.3,31,0.2,23,0.2,25,0.2
22-05-2020,Ontario,284,1.9,401,2.7,20,0.1,38,0.3,22,0.1
23-05-2020,Ontario,284,1.9,367,2.5,25,0.2,37,0.2,25,0.2
24-05-2020,Ontario,280,1.9,341,2.3,35,0.2,32,0.2,25,0.2
25-05-2020,Ontario,372,2.5,398,2.7,39,0.3,45,0.3,26,0.2
26-05-2020,Ontario,314,2.1,273,1.8,25,0.2,21,0.1,40,0.3
27-05-2020,Ontario,290,2,324,2.2,24,0.2,33,0.2,27,0.2
28-05-2020,Ontario,241,1.6,325,2.2,21,0.1,24,0.2,19,0.1
29-05-2020,Ontario,332,2.2,595,4,23,0.2,39,0.3,25,0.2
30-05-2020,Ontario,289,1.9,346,2.3,20,0.1,36,0.2,19,0.1
31-05-2020,Ontario,201,1.4,414,2.8,16,0.1,22,0.1,11,0.1
01-06-2020,Ontario,363,2.4,398,2.7,18,0.1,28,0.2,12,0.1
02-06-2020,Ontario,230,1.5,366,2.5,15,0.1,19,0.1,10,0.1
03-06-2020,Ontario,235,1.6,347,2.3,15,0.1,22,0.1,15,0.1
04-06-2020,Ontario,233,1.6,279,1.9,10,0.1,23,0.2,18,0.1
05-06-2020,Ontario,226,1.5,278,1.9,13,0.1,24,0.2,20,0.1
06-06-2020,Ontario,192,1.3,222,1.5,16,0.1,16,0.1,9,0.1
07-06-2020,Ontario,164,1.1,207,1.4,10,0.1,8,0.1,9,0.1
08-06-2020,Ontario,225,1.5,215,1.4,14,0.1,16,0.1,6,0
09-06-2020,Ontario,171,1.2,216,1.5,13,0.1,15,0.1,15,0.1
10-06-2020,Ontario,205,1.4,237,1.6,12,0.1,14,0.1,6,0
11-06-2020,Ontario,180,1.2,187,1.3,10,0.1,21,0.1,9,0.1
12-06-2020,Ontario,176,1.2,239,1.6,7,0,14,0.1,5,0
13-06-2020,Ontario,130,0.9,171,1.2,12,0.1,10,0.1,11,0.1
14-06-2020,Ontario,149,1,144,1,10,0.1,2,0,9,0.1
15-06-2020,Ontario,217,1.5,178,1.2,9,0.1,10,0.1,5,0
16-06-2020,Ontario,191,1.3,176,1.2,9,0.1,12,0.1,6,0
17-06-2020,Ontario,180,1.2,192,1.3,7,0,12,0.1,3,0
18-06-2020,Ontario,165,1.1,198,1.3,9,0.1,13,0.1,5,0
19-06-2020,Ontario,165,1.1,189,1.3,6,0,9,0.1,6,0
20-06-2020,Ontario,151,1,155,1,8,0.1,11,0.1,9,0.1
21-06-2020,Ontario,132,0.9,175,1.2,3,0,16,0.1,4,0
22-06-2020,Ontario,179,1.2,203,1.4,7,0,6,0,7,0
23-06-2020,Ontario,171,1.2,151,1,8,0.1,6,0,10,0.1
24-06-2020,Ontario,150,1,164,1.1,7,0,5,0,6,0
25-06-2020,Ontario,273,1.8,146,1,10,0.1,9,0.1,3,0
26-06-2020,Ontario,112,0.8,182,1.2,6,0,6,0,5,0
27-06-2020,Ontario,116,0.8,231,1.6,5,0,6,0,3,0
28-06-2020,Ontario,118,0.8,205,1.4,5,0,7,0,4,0
29-06-2020,Ontario,154,1,130,0.9,5,0,9,0.1,7,0
30-06-2020,Ontario,134,0.9,177,1.2,6,0,12,0.1,2,0
01-07-2020,Ontario,102,0.7,151,1,4,0,2,0,2,0
02-07-2020,Ontario,117,0.8,142,1,7,0,6,0,2,0
03-07-2020,Ontario,117,0.8,152,1,6,0,4,0,3,0
04-07-2020,Ontario,107,0.7,127,0.9,8,0.1,6,0,0,0
05-07-2020,Ontario,78,0.5,92,0.6,3,0,7,0,1,0
06-07-2020,Ontario,213,1.4,105,0.7,9,0.1,6,0,7,0
07-07-2020,Ontario,162,1.1,139,0.9,11,0.1,8,0.1,2,0
08-07-2020,Ontario,145,1,143,1,14,0.1,11,0.1,5,0
09-07-2020,Ontario,118,0.8,137,0.9,8,0.1,8,0.1,2,0
10-07-2020,Ontario,136,0.9,124,0.8,11,0.1,5,0,5,0
11-07-2020,Ontario,117,0.8,129,0.9,9,0.1,9,0.1,3,0
12-07-2020,Ontario,104,0.7,113,0.8,6,0,5,0,1,0
13-07-2020,Ontario,187,1.3,98,0.7,7,0,6,0,4,0
14-07-2020,Ontario,166,1.1,105,0.7,10,0.1,9,0.1,2,0
15-07-2020,Ontario,172,1.2,133,0.9,3,0,5,0,4,0
16-07-2020,Ontario,132,0.9,143,1,1,0,11,0.1,2,0
17-07-2020,Ontario,133,0.9,165,1.1,3,0,2,0,2,0
18-07-2020,Ontario,116,0.8,174,1.2,4,0,6,0,3,0
19-07-2020,Ontario,100,0.7,121,0.8,12,0.1,7,0,1,0
20-07-2020,Ontario,145,1,178,1.2,4,0,10,0.1,1,0
21-07-2020,Ontario,144,1,118,0.8,5,0,5,0,1,0
22-07-2020,Ontario,133,0.9,122,0.8,4,0,8,0.1,2,0
23-07-2020,Ontario,110,0.7,194,1.3,4,0,6,0,1,0
24-07-2020,Ontario,114,0.8,139,0.9,3,0,4,0,2,0
25-07-2020,Ontario,96,0.6,118,0.8,3,0,3,0,2,0
26-07-2020,Ontario,88,0.6,125,0.8,6,0,6,0,3,0
27-07-2020,Ontario,138,0.9,121,0.8,5,0,5,0,1,0
28-07-2020,Ontario,98,0.7,122,0.8,7,0,8,0.1,2,0
29-07-2020,Ontario,106,0.7,99,0.7,3,0,2,0,1,0
30-07-2020,Ontario,95,0.6,109,0.7,9,0.1,3,0,3,0
31-07-2020,Ontario,83,0.6,126,0.8,7,0,9,0.1,1,0
01-08-2020,Ontario,79,0.5,102,0.7,4,0,8,0.1,3,0
02-08-2020,Ontario,66,0.4,57,0.4,5,0,1,0,1,0
03-08-2020,Ontario,87,0.6,98,0.7,2,0,5,0,0,0
04-08-2020,Ontario,86,0.6,88,0.6,2,0,6,0,0,0
05-08-2020,Ontario,91,0.6,81,0.5,2,0,3,0,1,0
06-08-2020,Ontario,75,0.5,96,0.6,4,0,4,0,1,0
07-08-2020,Ontario,109,0.7,81,0.5,6,0,3,0,1,0
08-08-2020,Ontario,75,0.5,92,0.6,2,0,2,0,0,0
09-08-2020,Ontario,65,0.4,90,0.6,1,0,4,0,0,0
10-08-2020,Ontario,127,0.9,69,0.5,5,0,4,0,1,0
11-08-2020,Ontario,100,0.7,88,0.6,4,0,6,0,1,0
12-08-2020,Ontario,95,0.6,96,0.6,9,0.1,0,0,0,0
13-08-2020,Ontario,113,0.8,91,0.6,6,0,3,0,1,0
14-08-2020,Ontario,94,0.6,91,0.6,3,0,2,0,0,0
15-08-2020,Ontario,83,0.6,85,0.6,4,0,3,0,0,0
16-08-2020,Ontario,77,0.5,100,0.7,5,0,5,0,1,0
17-08-2020,Ontario,151,1,99,0.7,6,0,4,0,1,0
18-08-2020,Ontario,106,0.7,104,0.7,8,0.1,4,0,2,0
19-08-2020,Ontario,109,0.7,104,0.7,8,0.1,7,0,1,0
20-08-2020,Ontario,110,0.7,108,0.7,8,0.1,7,0,2,0
21-08-2020,Ontario,118,0.8,133,0.9,5,0,12,0.1,0,0
22-08-2020,Ontario,110,0.7,82,0.6,5,0,8,0.1,0,0
23-08-2020,Ontario,119,0.8,101,0.7,4,0,6,0,1,0
24-08-2020,Ontario,146,1,118,0.8,5,0,5,0,1,0
25-08-2020,Ontario,148,1,120,0.8,3,0,4,0,0,0
26-08-2020,Ontario,140,0.9,132,0.9,3,0,3,0,0,0
27-08-2020,Ontario,107,0.7,150,1,5,0,6,0,1,0
28-08-2020,Ontario,128,0.9,121,0.8,6,0,2,0,0,0
29-08-2020,Ontario,122,0.8,111,0.7,5,0,4,0,0,0
30-08-2020,Ontario,146,1,121,0.8,2,0,4,0,1,0
31-08-2020,Ontario,168,1.1,136,0.9,7,0,4,0,0,0
01-09-2020,Ontario,200,1.3,123,0.8,7,0,6,0,2,0
02-09-2020,Ontario,198,1.3,127,0.9,3,0,5,0,0,0
03-09-2020,Ontario,177,1.2,168,1.1,5,0,3,0,1,0
04-09-2020,Ontario,203,1.4,155,1,7,0,7,0,0,0
05-09-2020,Ontario,192,1.3,148,1,6,0,5,0,1,0
06-09-2020,Ontario,186,1.3,193,1.3,3,0,5,0,0,0
07-09-2020,Ontario,254,1.7,172,1.2,11,0.1,7,0,2,0
08-09-2020,Ontario,279,1.9,181,1.2,9,0.1,2,0,0,0
09-09-2020,Ontario,295,2,193,1.3,8,0.1,5,0,0,0
10-09-2020,Ontario,334,2.2,202,1.4,13,0.1,4,0,1,0
11-09-2020,Ontario,303,2,265,1.8,11,0.1,14,0.1,1,0
12-09-2020,Ontario,321,2.2,297,2,2,0,9,0.1,2,0
13-09-2020,Ontario,333,2.2,213,1.4,10,0.1,3,0,2,0
14-09-2020,Ontario,464,3.1,280,1.9,12,0.1,7,0,2,0
15-09-2020,Ontario,521,3.5,316,2.1,15,0.1,8,0.1,1,0
16-09-2020,Ontario,487,3.3,335,2.3,14,0.1,16,0.1,1,0
17-09-2020,Ontario,434,2.9,430,2.9,5,0,7,0,7,0
18-09-2020,Ontario,487,3.3,397,2.7,10,0.1,13,0.1,1,0
19-09-2020,Ontario,442,3,401,2.7,9,0.1,7,0,2,0
20-09-2020,Ontario,466,3.1,400,2.7,16,0.1,11,0.1,1,0
21-09-2020,Ontario,693,4.7,389,2.6,19,0.1,12,0.1,0,0
22-09-2020,Ontario,640,4.3,369,2.5,14,0.1,13,0.1,1,0
23-09-2020,Ontario,664,4.5,395,2.7,21,0.1,8,0.1,1,0
24-09-2020,Ontario,674,4.5,429,2.9,27,0.2,11,0.1,2,0
25-09-2020,Ontario,702,4.7,515,3.5,24,0.2,18,0.1,4,0
26-09-2020,Ontario,630,4.2,626,4.2,24,0.2,15,0.1,4,0
27-09-2020,Ontario,644,4.3,561,3.8,20,0.1,30,0.2,2,0
28-09-2020,Ontario,810,5.4,533,3.6,31,0.2,9,0.1,2,0
29-09-2020,Ontario,749,5,607,4.1,26,0.2,26,0.2,7,0
30-09-2020,Ontario,731,4.9,684,4.6,20,0.1,28,0.2,1,0
01-10-2020,Ontario,623,4.2,622,4.2,22,0.1,21,0.1,5,0
02-10-2020,Ontario,617,4.2,675,4.5,21,0.1,15,0.1,2,0
03-10-2020,Ontario,568,3.8,542,3.6,32,0.2,12,0.1,7,0
04-10-2020,Ontario,551,3.7,586,3.9,23,0.2,21,0.1,5,0
05-10-2020,Ontario,763,5.1,579,3.9,39,0.3,19,0.1,1,0
06-10-2020,Ontario,703,4.7,759,5.1,21,0.1,26,0.2,4,0
07-10-2020,Ontario,713,4.8,881,5.9,33,0.2,49,0.3,5,0
08-10-2020,Ontario,669,4.5,745,5,28,0.2,34,0.2,6,0
09-10-2020,Ontario,710,4.8,799,5.4,29,0.2,40,0.3,7,0
10-10-2020,Ontario,714,4.8,688,4.6,26,0.2,21,0.1,8,0.1
11-10-2020,Ontario,616,4.1,797,5.4,22,0.1,30,0.2,2,0
12-10-2020,Ontario,716,4.8,592,4,34,0.2,12,0.1,3,0
13-10-2020,Ontario,795,5.3,835,5.6,18,0.1,26,0.2,6,0
14-10-2020,Ontario,780,5.2,881,5.9,30,0.2,25,0.2,8,0.1
15-10-2020,Ontario,712,4.8,765,5.1,25,0.2,30,0.2,7,0
16-10-2020,Ontario,779,5.2,706,4.7,27,0.2,33,0.2,8,0.1
17-10-2020,Ontario,696,4.7,706,4.7,37,0.2,24,0.2,6,0
18-10-2020,Ontario,732,4.9,803,5.4,27,0.2,33,0.2,9,0.1
19-10-2020,Ontario,993,6.7,754,5.1,29,0.2,32,0.2,9,0.1
20-10-2020,Ontario,941,6.3,760,5.1,30,0.2,36,0.2,5,0
21-10-2020,Ontario,895,6,842,5.7,32,0.2,24,0.2,8,0.1
22-10-2020,Ontario,943,6.3,991,6.7,32,0.2,33,0.2,7,0
23-10-2020,Ontario,867,5.8,954,6.4,35,0.2,33,0.2,9,0.1
24-10-2020,Ontario,793,5.3,939,6.3,20,0.1,28,0.2,13,0.1
25-10-2020,Ontario,800,5.4,883,5.9,30,0.2,37,0.2,4,0
26-10-2020,Ontario,959,6.5,777,5.2,49,0.3,20,0.1,8,0.1
27-10-2020,Ontario,946,6.4,875,5.9,47,0.3,40,0.3,6,0
28-10-2020,Ontario,1035,7,925,6.2,36,0.2,33,0.2,18,0.1
29-10-2020,Ontario,837,5.6,891,6,38,0.3,35,0.2,12,0.1
30-10-2020,Ontario,921,6.2,1091,7.3,52,0.3,54,0.4,11,0.1
31-10-2020,Ontario,950,6.4,943,6.3,42,0.3,40,0.3,9,0.1
01-11-2020,Ontario,1016,6.8,1101,7.4,43,0.3,30,0.2,15,0.1
02-11-2020,Ontario,1440,9.7,969,6.5,45,0.3,44,0.3,17,0.1
03-11-2020,Ontario,1440,9.7,878,5.9,50,0.3,43,0.3,14,0.1
04-11-2020,Ontario,1438,9.7,946,6.4,47,0.3,37,0.2,14,0.1
05-11-2020,Ontario,1474,9.9,1261,8.5,74,0.5,35,0.2,9,0.1
06-11-2020,Ontario,1585,10.7,1296,8.7,44,0.3,59,0.4,15,0.1
07-11-2020,Ontario,1348,9.1,1162,7.8,53,0.4,49,0.3,24,0.2
08-11-2020,Ontario,1275,8.6,1323,8.9,55,0.4,48,0.3,11,0.1
09-11-2020,Ontario,1659,11.2,1427,9.6,51,0.3,61,0.4,18,0.1
10-11-2020,Ontario,1487,10,1574,10.6,56,0.4,52,0.3,27,0.2
11-11-2020,Ontario,1546,10.4,1537,10.3,54,0.4,55,0.4,20,0.1
12-11-2020,Ontario,1392,9.4,1593,10.7,32,0.2,48,0.3,15,0.1
13-11-2020,Ontario,1470,9.9,1483,10,47,0.3,54,0.4,24,0.2
14-11-2020,Ontario,1346,9.1,1495,10.1,45,0.3,39,0.3,20,0.1
15-11-2020,Ontario,1318,8.9,1290,8.7,46,0.3,34,0.2,16,0.1
16-11-2020,Ontario,1584,10.7,1344,9,58,0.4,45,0.3,22,0.1
17-11-2020,Ontario,1575,10.6,1246,8.4,52,0.3,52,0.3,15,0.1
18-11-2020,Ontario,1630,11,1462,9.8,58,0.4,53,0.4,13,0.1
19-11-2020,Ontario,1549,10.4,1499,10.1,56,0.4,46,0.3,18,0.1
20-11-2020,Ontario,1600,10.8,1640,11,57,0.4,58,0.4,20,0.1
21-11-2020,Ontario,1437,9.7,1505,10.1,43,0.3,44,0.3,18,0.1
22-11-2020,Ontario,1409,9.5,1319,8.9,60,0.4,53,0.4,21,0.1
23-11-2020,Ontario,1917,12.9,1365,9.2,66,0.4,60,0.4,24,0.2
24-11-2020,Ontario,1828,12.3,1413,9.5,53,0.4,62,0.4,16,0.1
25-11-2020,Ontario,1973,13.3,1686,11.3,71,0.5,76,0.5,24,0.2
26-11-2020,Ontario,1800,12.1,1860,12.5,70,0.5,64,0.4,18,0.1
27-11-2020,Ontario,1800,12.1,1759,11.8,82,0.6,61,0.4,22,0.1
28-11-2020,Ontario,1801,12.1,1730,11.6,63,0.4,61,0.4,16,0.1
29-11-2020,Ontario,1635,11,1680,11.3,68,0.5,61,0.4,21,0.1
30-11-2020,Ontario,2108,14.2,1627,10.9,77,0.5,74,0.5,18,0.1
01-12-2020,Ontario,2025,13.6,1816,12.2,81,0.5,61,0.4,26,0.2
02-12-2020,Ontario,1974,13.3,1760,11.8,82,0.6,66,0.4,27,0.2
03-12-2020,Ontario,2001,13.5,1827,12.3,93,0.6,71,0.5,18,0.1
04-12-2020,Ontario,1942,13.1,1890,12.7,73,0.5,78,0.5,24,0.2
05-12-2020,Ontario,1717,11.6,2087,14,72,0.5,89,0.6,23,0.2
06-12-2020,Ontario,1775,11.9,1734,11.7,66,0.4,77,0.5,24,0.2
07-12-2020,Ontario,2269,15.3,1779,12,66,0.4,79,0.5,22,0.1
08-12-2020,Ontario,2186,14.7,1867,12.6,90,0.6,78,0.5,30,0.2
09-12-2020,Ontario,2218,14.9,1907,12.8,82,0.6,65,0.4,36,0.2
10-12-2020,Ontario,2101,14.1,1881,12.7,73,0.5,85,0.6,20,0.1
11-12-2020,Ontario,2203,14.8,1909,12.8,111,0.7,71,0.5,24,0.2
12-12-2020,Ontario,2033,13.7,1970,13.3,88,0.6,89,0.6,38,0.3
13-12-2020,Ontario,1963,13.2,1973,13.3,81,0.5,73,0.5,30,0.2
14-12-2020,Ontario,2575,17.3,2064,13.9,98,0.7,67,0.5,33,0.2
15-12-2020,Ontario,2337,15.7,2243,15.1,78,0.5,96,0.6,36,0.2
16-12-2020,Ontario,2503,16.8,2308,15.5,107,0.7,84,0.6,25,0.2
17-12-2020,Ontario,2220,14.9,2372,16,95,0.6,94,0.6,33,0.2
18-12-2020,Ontario,2315,15.6,2417,16.3,84,0.6,89,0.6,43,0.3
19-12-2020,Ontario,2115,14.2,2271,15.3,89,0.6,86,0.6,36,0.2
20-12-2020,Ontario,2135,14.4,2341,15.7,91,0.6,102,0.7,33,0.2
21-12-2020,Ontario,2735,18.4,2164,14.6,110,0.7,86,0.6,36,0.2
22-12-2020,Ontario,2540,17.1,2557,17.2,108,0.7,112,0.8,46,0.3
23-12-2020,Ontario,2751,18.5,2219,14.9,106,0.7,100,0.7,42,0.3
24-12-2020,Ontario,2728,18.4,1928,13,112,0.8,88,0.6,43,0.3
25-12-2020,Ontario,2385,16,2187,14.7,103,0.7,77,0.5,31,0.2
26-12-2020,Ontario,3110,20.9,2239,15.1,126,0.8,110,0.7,45,0.3
27-12-2020,Ontario,3129,21.1,2137,14.4,110,0.7,90,0.6,40,0.3
28-12-2020,Ontario,3627,24.4,2737,18.4,117,0.8,109,0.7,34,0.2
29-12-2020,Ontario,3297,22.2,3206,21.6,127,0.9,118,0.8,47,0.3
30-12-2020,Ontario,3147,21.2,2789,18.8,124,0.8,104,0.7,43,0.3
31-12-2020,Ontario,3236,21.8,3411,22.9,145,1,129,0.9,50,0.3
01-01-2021,Ontario,3098,20.8,3275,22,123,0.8,130,0.9,49,0.3
02-01-2021,Ontario,3203,21.5,2884,19.4,104,0.7,116,0.8,43,0.3
